epoch,loss,val_loss
1,0.7960901260375977,0.2774781286716461
2,0.09402435272932053,0.1992127001285553
3,0.05595031753182411,0.21212166547775269
4,0.05127478390932083,0.19059598445892334
5,0.0639842227101326,0.2306799292564392
6,0.042596448212862015,0.17530035972595215
7,0.04082357883453369,0.156764954328537
8,0.04261171817779541,0.13525742292404175
9,0.03536377474665642,0.15002213418483734
10,0.036621637642383575,0.14831042289733887
11,0.03066379204392433,0.18604542315006256
12,0.048671904951334,0.13756413757801056
13,0.02652212604880333,0.16875998675823212
14,0.03589058294892311,0.1281043291091919
15,0.029880253598093987,0.15889443457126617
16,0.03897707164287567,0.17424112558364868
17,0.028985951095819473,0.15424677729606628
18,0.022868497297167778,0.1357613354921341
19,0.03251740708947182,0.15000973641872406
20,0.028524205088615417,0.14090615510940552
21,0.0275396890938282,0.15545174479484558
22,0.026076948270201683,0.12285846471786499
23,0.030472781509160995,0.1734074354171753
24,0.020265471190214157,0.1613554060459137
25,0.0230178851634264,0.12530140578746796
26,0.030247194692492485,0.2445504516363144
27,0.036725811660289764,0.19713935256004333
28,0.02169099450111389,0.1455090194940567
29,0.022654550150036812,0.1534288227558136
30,0.0189803633838892,0.15372592210769653
