epoch,gen_loss,disc_loss,val_gen_loss,val_disc_loss
1,0.3170701861381531,0.4129127562046051,0.28454944491386414,0.4833449721336365
2,0.2783978283405304,0.32774820923805237,0.27411115169525146,0.5869723558425903
3,0.2700718939304352,0.3271746039390564,0.2690329849720001,0.6510712504386902
4,0.26515424251556396,0.3265429139137268,0.2661633789539337,0.7161291241645813
5,0.26173219084739685,0.3266487419605255,0.2637697160243988,0.7050908803939819
6,0.2590268850326538,0.3252728283405304,0.26287567615509033,0.7000590562820435
7,0.25684240460395813,0.3253139853477478,0.26178431510925293,0.7106138467788696
8,0.2549641728401184,0.3255328834056854,0.2608315944671631,0.7128338813781738
9,0.25327324867248535,0.32593080401420593,0.26063433289527893,0.736657977104187
10,0.25177574157714844,0.3263121247291565,0.26030096411705017,0.6988415122032166
11,0.25042226910591125,0.32612892985343933,0.2605014443397522,0.6912747621536255
12,0.24915944039821625,0.32492560148239136,0.2603662610054016,0.7012229561805725
13,0.24797527492046356,0.32460466027259827,0.26069900393486023,0.6890929341316223
14,0.24676594138145447,0.3259478509426117,0.26078587770462036,0.692841649055481
15,0.2458321899175644,0.32531145215034485,0.2612302005290985,0.7060739994049072
16,0.24476531147956848,0.324907511472702,0.26119759678840637,0.7035022974014282
17,0.2437615990638733,0.32501518726348877,0.2612374424934387,0.6963192224502563
18,0.2428305298089981,0.32503941655158997,0.26208943128585815,0.7071694731712341
19,0.24205954372882843,0.32568424940109253,0.26234790682792664,0.7385084629058838
20,0.24116702377796173,0.32536205649375916,0.26222527027130127,0.6938746571540833
