epoch,gen_loss,disc_loss,val_gen_loss,val_disc_loss
1,0.44916149973869324,0.39127570390701294,0.4448239803314209,0.6381933689117432
2,0.43302273750305176,0.327504962682724,0.4496287405490875,0.6587111353874207
3,0.4234071671962738,0.32730239629745483,0.4547927677631378,0.715631902217865
4,0.4115261435508728,0.3270368278026581,0.4635408818721771,0.7151723504066467
5,0.3993176519870758,0.32654520869255066,0.4721722900867462,0.6667656302452087
6,0.3873486816883087,0.3255716860294342,0.4801411032676697,0.6839442849159241
7,0.37596091628074646,0.3259163200855255,0.484275758266449,0.6764202117919922
8,0.365684449672699,0.3258388936519623,0.49309125542640686,0.7141023874282837
9,0.3566138744354248,0.3264326751232147,0.5005679726600647,0.6771940588951111
10,0.3485187292098999,0.32589495182037354,0.5020170211791992,0.7140740156173706
11,0.3412577509880066,0.32561057806015015,0.5109938979148865,0.7369961142539978
12,0.33485716581344604,0.325186550617218,0.5149832963943481,0.6935688257217407
13,0.32902342081069946,0.3259775936603546,0.5140727758407593,0.6997384428977966
14,0.32382312417030334,0.32571130990982056,0.5122742652893066,0.70354825258255
15,0.31920287013053894,0.3248891234397888,0.5141982436180115,0.7103323936462402
16,0.31489500403404236,0.32559454441070557,0.5194064378738403,0.7106987237930298
17,0.3112311363220215,0.3250800371170044,0.5209008455276489,0.7330277562141418
18,0.307647168636322,0.32565075159072876,0.5250328779220581,0.7656897306442261
19,0.30437207221984863,0.326567679643631,0.5255981683731079,0.6951963305473328
20,0.30133283138275146,0.3256867825984955,0.5231550335884094,0.6890866756439209
