epoch,loss,val_loss
1,6.718275547027588,2.2298641204833984
2,0.9794734120368958,0.32364749908447266
3,0.15117859840393066,0.060556381940841675
4,0.03574017062783241,0.02303500473499298
5,0.017568763345479965,0.01513885147869587
6,0.01421680860221386,0.013996932655572891
7,0.013333193026483059,0.01336208637803793
8,0.012979735620319843,0.013117465190589428
9,0.012769926339387894,0.01299519743770361
10,0.012612752616405487,0.012826229445636272
11,0.012482677586376667,0.012778664007782936
12,0.012322974391281605,0.012592427432537079
13,0.012187917716801167,0.012428311631083488
14,0.012075086124241352,0.01228394079953432
15,0.011977951973676682,0.012158514931797981
16,0.011891169473528862,0.012147392146289349
17,0.011818374507129192,0.011987755075097084
18,0.011753718368709087,0.01201762817800045
19,0.011693617329001427,0.011888994835317135
20,0.011640544980764389,0.011853781528770924
