epoch,gen_loss,disc_loss,val_gen_loss,val_disc_loss
1,0.7309552431106567,0.39348506927490234,0.7098830938339233,0.8709317445755005
2,0.7050599455833435,0.3284986913204193,0.7026433348655701,0.5503739714622498
3,0.6976561546325684,0.3278544247150421,0.6966567635536194,0.6115244626998901
4,0.6896534562110901,0.3264574706554413,0.6917132139205933,0.5526199340820312
5,0.682957649230957,0.32636839151382446,0.6886886358261108,0.6120761036872864
6,0.678094744682312,0.3262470066547394,0.6875548362731934,0.6457533836364746
7,0.67389315366745,0.32577741146087646,0.6882491111755371,0.6631331443786621
8,0.6702084541320801,0.32673534750938416,0.6901264786720276,0.6134905219078064
9,0.6665735840797424,0.32602667808532715,0.6932485699653625,0.6599615216255188
10,0.6630725860595703,0.32628506422042847,0.6932738423347473,0.7135547399520874
11,0.6596031785011292,0.3259678781032562,0.6943963170051575,0.6647335290908813
12,0.6562124490737915,0.32613739371299744,0.696375846862793,0.7319760918617249
13,0.6530143022537231,0.3260463774204254,0.7003411650657654,0.6872803568840027
14,0.6498207449913025,0.32631343603134155,0.700437605381012,0.6576552391052246
15,0.6469092965126038,0.3259131610393524,0.703557550907135,0.5943374633789062
16,0.6439905762672424,0.32591280341148376,0.7064797282218933,0.5671752691268921
17,0.6413580775260925,0.3264223337173462,0.7071822285652161,0.6360886096954346
18,0.6387214064598083,0.32566142082214355,0.706479012966156,0.6312789916992188
19,0.6362566947937012,0.32583099603652954,0.7099462151527405,0.618788480758667
20,0.633935272693634,0.3251199424266815,0.711652398109436,0.7054467797279358
