epoch,loss,val_loss
1,6.673609733581543,2.208531379699707
2,0.9620065689086914,0.3111955523490906
3,0.14422723650932312,0.05723012983798981
4,0.03476386517286301,0.023097708821296692
5,0.019113091751933098,0.017552899196743965
6,0.016850007697939873,0.016975730657577515
7,0.016503414139151573,0.01693566143512726
8,0.016410697251558304,0.017024261876940727
9,0.01636536791920662,0.016974708065390587
10,0.016331735998392105,0.017069408670067787
11,0.016305353492498398,0.017010636627674103
12,0.016253745183348656,0.016990264877676964
13,0.016193773597478867,0.017008008435368538
14,0.01613766700029373,0.017070919275283813
15,0.016086701303720474,0.017036497592926025
16,0.01603304035961628,0.017066074535250664
17,0.015987860038876534,0.017100684344768524
18,0.01593545451760292,0.01708829030394554
19,0.01588677428662777,0.01708044856786728
20,0.01584031991660595,0.017164068296551704
21,0.015792321413755417,0.017159055918455124
22,0.015748202800750732,0.017177311703562737
23,0.015699470415711403,0.017239829525351524
24,0.015654074028134346,0.01727249287068844
25,0.015616107732057571,0.017334695905447006
26,0.015572501346468925,0.017284469678997993
27,0.015529214404523373,0.017397696152329445
28,0.015492068603634834,0.017377572134137154
29,0.015451770275831223,0.017372583970427513
30,0.015419119969010353,0.017475424334406853
